bar_index,category,label,color,x1,y1_top,x2,y2_bottom,pixel_height,value,baseline_value
0,revaweg uooasuy,deg,#ffffff,183.67425537109375,158.46351623535156,225.77935791015625,244.04318237304688,85.57966613769531,55.22,20.84
1,euaeyos|,deg,#ffffff,98.5414810180664,173.61927795410156,141.04025268554688,243.97103881835938,70.35176086425781,49.13,20.87
2,deg,deg,#ffffff,269.30279541015625,209.4650115966797,311.4315490722656,243.95523071289062,34.49021911621094,34.73,20.87
3,‘Ayedounany,deg,#ffffff,141.55712890625,80.83597564697266,183.05206298828125,243.91970825195312,163.08373260498047,86.41,20.89
4,Poly,deg,#ffffff,226.32521057128906,149.03785705566406,268.8641357421875,243.94137573242188,94.90351867675781,59.01,20.88
5,aus,deg,#ffffff,55.529014587402344,208.7471466064453,97.8879623413086,244.0277099609375,35.28056335449219,35.02,20.84
